video_id,author,text,published_at,like_count,clean_text,sentiment
a35pZ1rPXKM,@felixamoah4978,Her Opoku be fucking guy. I just like him,2025-07-22T19:22:27Z,0,opoku fucking guy like,positive
a35pZ1rPXKM,@ON_THE_STREET-g7i,nkwasiafoc fix ur network aaba,2025-06-25T12:32:31Z,0,nkwasiafoc fix ur network aaba,negative
a35pZ1rPXKM,@smokehimself,Nice🫰🏽,2025-06-19T10:36:48Z,0,nice,positive
a35pZ1rPXKM,@Yourprettyangel,Niceeee,2025-06-19T08:54:26Z,0,niceeee,neutral
a35pZ1rPXKM,@batadelon,Nice one🎉🎉,2025-06-19T01:48:24Z,1,nice one,positive
a35pZ1rPXKM,@evansboafo5083,Adi!🤣🤣🤣,2025-06-18T22:09:00Z,0,adi,neutral
a35pZ1rPXKM,@joanadenteh1781,😂❤,2025-06-18T20:15:15Z,0,,neutral
a35pZ1rPXKM,@mrrainny,Put me down😂😂,2025-06-18T12:43:25Z,0,put,neutral
a35pZ1rPXKM,@tyronekvng8965,😂😂amazing,2025-06-18T12:14:08Z,0,amazing,positive
a35pZ1rPXKM,@bishopsonwale5022,Me anka macho die😂😂,2025-06-18T10:50:12Z,0,anka macho die,negative
a35pZ1rPXKM,@erivelle.e,"That should be my account,herh",2025-06-18T10:22:13Z,0,accountherh,neutral
a35pZ1rPXKM,@Petlovers233,"Money will make you feel like a boss, Telecel will do that for us 🫶🏽",2025-06-18T09:54:42Z,0,money make feel like boss telecel us,positive
a35pZ1rPXKM,@DamienScott-b3f,Amazing promo,2025-06-18T05:02:44Z,0,amazing promo,positive
a35pZ1rPXKM,@georgesimpson8271,When we go chop some,2025-06-18T04:49:48Z,2,go chop,neutral
a35pZ1rPXKM,@mr.agbeko,Landlord go turn tenant 😂🔥..herh Telecel for life🔥🔥,2025-06-17T23:07:21Z,0,landlord go turn tenant herh telecel life,neutral
a35pZ1rPXKM,@Theunsaid45,I’m looking forward to this cash,2025-06-17T22:58:48Z,0,im looking forward cash,neutral
a35pZ1rPXKM,@kwesiaidoo8328,Opoku cash out,2025-06-17T18:29:32Z,0,opoku cash,neutral
a35pZ1rPXKM,@joshuaamoo9657,Man for chop this promo money some,2025-06-17T15:32:50Z,0,man chop promo money,neutral
a35pZ1rPXKM,@MUSIQUEVIBEZ,When Telecel comes through for you😌🫶🏽,2025-06-17T15:28:47Z,0,telecel comes,neutral
a35pZ1rPXKM,@fallybillions,I must win o😂,2025-06-17T15:18:59Z,0,must win,positive
a35pZ1rPXKM,@jbounce3313,😂🥳🙌,2025-06-17T13:58:48Z,0,,neutral
a35pZ1rPXKM,@michaelsarpongnyamah8430,We go chop money pass 🔥🔥,2025-06-17T13:52:49Z,0,go chop money pass,neutral
a35pZ1rPXKM,@yeslove1245,👏🏾🔥,2025-06-17T13:51:17Z,0,,neutral
4B-OD2zKfb8,@kubolor1234,You can do BIG advert yet I am barely able to stream this in 720p. Criminals,2025-09-14T20:07:49Z,0,big advert yet barely able stream p criminals,negative
4B-OD2zKfb8,@likewassaw,Useless network,2025-09-13T12:46:35Z,0,useless network,negative
4B-OD2zKfb8,@dcempire8392,Wackiest network,2025-09-13T00:03:08Z,0,wackiest network,neutral
4B-OD2zKfb8,@Xvlogs650,Fix your Telecel redsave I did withdrawal and money has been deducted but haven’t reflect on my Telecel cash account. Have called customer care and they are not doing anything over 2 weeks and still,2025-09-08T14:01:54Z,0,fix telecel redsave withdrawal money deducted havent reflect telecel cash account called customer care anything weeks still,positive
vP62n8VU1ns,@ErastusMensah-z9p,I signed up long time koraaa,2025-07-09T19:53:23Z,0,signed long time koraaa,neutral
vP62n8VU1ns,@thenanapoku191,Mate wai name 😂😂😂,2025-07-09T19:28:21Z,0,mate wai name,neutral
vP62n8VU1ns,@fabulous1007,I just dey wait for the prize 😅,2025-07-09T19:01:29Z,0,dey wait prize,positive
vP62n8VU1ns,@WhisperedTruths_Hub,I can’t wait for my prize,2025-07-09T18:49:37Z,0,cant wait prize,negative
vP62n8VU1ns,@iamnotime,"You know no Money is too much but you see that weekly prize of 2,000gh I dey eye am 😂
Ebe 2 Moorch",2025-07-09T18:34:54Z,0,know money much see weekly prize gh dey eye ebe moorch,positive
vP62n8VU1ns,@SamuelAtiye-e9j3z,"I can't wait to have it, I have been recharging, but no one called, but I have faith I will win",2025-07-09T17:31:53Z,0,cant wait recharging one called faith win,positive
JD6AobWSE2k,@Curi0u50ne,"See quin, she has enough..... 😜",2025-07-06T22:25:09Z,0,see quin enough,neutral
JD6AobWSE2k,@brdJr1,I used vodaphone once.,2025-02-11T06:47:12Z,0,used vodaphone,neutral
JD6AobWSE2k,@kwsktvYT,How do I register,2021-12-27T11:53:59Z,0,register,neutral
JD6AobWSE2k,@SixTheDeserter,🧐🤔,2021-11-02T22:53:16Z,0,,neutral
JD6AobWSE2k,@charlesasabre4788,"I really hate this network
I bought 10 gh cedis credit and recharge on my phone and the next morning , I went to check my balance It was 0.00000",2021-04-11T17:06:20Z,2,really hate network bought gh cedis credit recharge phone next morning went check balance,negative
JD6AobWSE2k,@Koby_stan,K_stan. Plz subscribe to my channel,2021-03-09T00:51:39Z,0,kstan plz subscribe channel,positive
JD6AobWSE2k,@adufosuemmanuel2336,i love vodafone,2020-08-04T18:52:28Z,2,love vodafone,positive
iBKx52sBO_g,@asensoowusugideon655,Nice network,2025-02-14T17:35:01Z,0,nice network,positive
iBKx52sBO_g,@adjeiedem7972,😢,2025-02-14T13:12:27Z,0,,neutral
